stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
0600MA0001,chegptg,"Broken Cross, Fallibroome Road (cnr)",53.25954,-2.16170,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0001
0600MA0050,chegtjm,"Macclesfield, opp Tesco",53.25827,-2.12812,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0050
0600MA0166,chemjat,"Knutsford, Sugar Pit Lane (cnr)",53.31067,-2.38578,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0166
0600MA0170,cheatmp,"Mere, Mereheath Lane (cnr)",53.32721,-2.39677,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0170
0600MA0171,chemjdg,"Knutsford, opp Sugar Pit Lane",53.31034,-2.38515,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0171
0600MA0202,cheatpj,"Pickmere, Red Lion PH (SW-bound)",53.28971,-2.46087,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0202
0600MA0203,cheatpm,"Pickmere, Red Lion PH (NE-bound)",53.28980,-2.46105,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0203
0600MA0213,cheatpw,"Little Bollington, nr Stamford Arms PH (Unmarked)",53.37499,-2.41168,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0213
0600MA0214,cheatwa,"Little Bollington, o/s Stamford Arms PH",53.37451,-2.40999,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0214
0600MA0250,cheawaj,"Mobberley, nr Bucklow Avenue",53.31401,-2.33011,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0250
0600MA0251,cheawam,"Mobberley, opp Bucklow Avenue",53.31426,-2.33031,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0251
0600MA0253,chempdp,"Mobberley, nr Victory Hall",53.31398,-2.31701,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0253
0600MA0274,cheawat,"Alderley Edge, Nat West Bank (S-bound)",53.30039,-2.23618,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0274
0600MA0275,cheawaw,"Alderley Edge, nr Nat West Bank",53.30029,-2.23643,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0275
0600MA0303,chemtag,"Henbury, opp Blacksmith's Arms PH",53.25952,-2.18248,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0303
0600MA0304,chemtaj,"Henbury, o/s Blacksmith's Arms PH",53.25953,-2.18396,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0304
0600MA0310,cheawgj,"Monks Heath, o/s Tiger Lily",53.26477,-2.23462,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0310
0600MA0322,cheawgw,"Adlington, o/s Railway Station",53.31994,-2.13494,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0322
